country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
IRL,1992,6831.8,2.656529445,151.8858969,2785.125807,31253.841,8.806131414,480.2394077,26.04401116,0.902147424,54270256541,13860,8.2,0.661505169,3549100,1.011155917,2033634.3
ISR,1992,3269.2,0.89476831,139.7250067,2582.815733,41499.439,8.100612727,438.2264491,55.35487019,18.74259876,65771216221,12590,10.4,3.455466681,5123000,3.565903133,4641438
ITA,1992,4707.4,0.245261543,108.1533076,2627.312063,432959.023,7.622833392,313.7939554,18.40837253,6.762581432,1.2658E+12,21960,8.8,0.068688398,56797650,0.128604517,37929470.67
JOR,1992,1294.5,0.766783023,300.0375903,1013.671042,12266.115,3.285859898,972.5852323,24.1840075,8.351270061,5310833151,1330,36.3,5.167403669,3733000,6.789061154,2784818
JPN,1992,5876.7,0.07270534,135.1673579,3658.547827,1123660.475,9.045073815,334.1759594,46.55000443,13.39860014,3.79611E+12,29740,6.1,0.248237081,124229000,0.720307194,79133873
KEN,1992,1661.1,0.077403617,340.4584561,455.8382547,5540.837,0.221258845,165.2547671,6.067873876,11.52466045,8220718083,330,105.4,3.255897638,25042330,4.123582041,4637839.516
KOR,1992,6066.9,0.220773328,196.2460382,2540.155509,286568.716,6.563193459,507.0558513,51.06925314,2.179243957,3.29886E+11,7700,6.6,0.908772977,43663000,2.080245373,32991762.8
LAC,1992,2437.093697,1.134890351,143.6793288,1065.06945,1022689.63,2.26086396,312.0617797,32.04661944,11.58294005,1.2871E+12,2783.673433,50.24881073,1.769664898,452344611.7,2.437733267,324375003.8
LIC,1992,1562.328795,0.178943542,369.798872,353.9977744,343641.3683,0.646449889,876.1630597,8.624372905,9.624070524,1.38116E+11,275.5191714,159.8344871,2.559936323,531582376.3,3.957630661,117296431.5
LMC,1992,2038.555612,0.863491809,328.1129923,594.6049382,2330010.521,1.277219078,705.3562874,12.07617558,7.525367995,8.38803E+11,493.6367051,108.5059699,1.996411088,1824284150,3.162967362,589805032.3
LMY,1992,2349.040565,1.155535367,321.6594934,922.2889802,10325599.97,2.322446687,838.2193216,13.66377851,9.22881975,3.86514E+12,881.3377263,95.44739393,1.706216783,4446000862,2.935146773,1653025758
MAR,1992,587.5,1.484924678,112.8912155,302.9566973,26039.367,1.01400186,377.8490577,18.63897159,1.250190171,28450632467,1060,78.6,1.73559148,25679802,3.071914261,12767997.55
MEX,1992,2708.2,1.208165021,142.2100902,1478.04166,342629.812,3.914725592,376.656149,33.54422949,2.636780494,3.63609E+11,3760,44.5,1.844451821,87523328,2.400008806,63191842.82
MIC,1992,2441.970015,1.185099796,320.6671802,979.2654203,9982401.627,2.55016209,836.7725108,14.26058997,9.155165619,3.72994E+12,964.768022,81.91557449,1.591375604,3914418485,2.85787733,1535729326
MNA,1992,1527.888599,1.223087391,173.2544881,850.5359254,637511.1411,2.696537496,589.0633747,20.35222513,3.162691777,2.67264E+11,1252.627541,68.4434761,2.305312391,236418422.5,3.054693041,124052272.4
MOZ,1992,175.7,1.284980516,1106.802978,416.9206854,1001.091,0.069917539,185.6107004,5.803508228,14.82191549,1968901450,150,208.6,3.198680228,14318167,7.706734739,3313223.844
MYS,1992,2953.1,8.762882741,202.3053703,1511.752576,75298.178,3.920945474,524.7077719,8.065507098,17.44846156,59151288903,2850,16.1,2.618396157,19204087,4.906648024,10016851.78
NGA,1992,1163.9,2.741153061,518.693117,754.5800214,64883.898,0.633354891,435.3637959,12.61610878,12.78301258,32710369046,280,213,2.4292317,102444773,4.408405704,37638209.6
